"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"Calobogn Limited","gemstones","CALOBOGN LIMITED","120200000677","27/01/2020","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"CAMCO EQUIPMENT (ZAMBIA) LIMITED","critical_battery","CAMCO EQUIPMENT (ZAMBIA) LIMITED","119980040840","16/06/1998","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","1",,,
"CAMCO MINING ZAMBIA LIMITED","critical_battery","CAMCO MINING ZAMBIA LIMITED","120220043041","09/12/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 08/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Camland Construction Limited","gold","CAMLAND CONSTRUCTION LIMITED","120080074456","21/08/2008","Retail sale of hardware, paints and glass in specialized stores","Active","Local Company - Limited by Shares","4752. Retail sale of hardware, paints and glass in specialized stores","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/03/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Capstone Management Company Limited","gemstones","CAPSTONE MANAGEMENT COMPANY LIMITED","120190004804","20/06/2019","Security systems service activities","Active","Local Company - Limited by Shares","8020. Security systems service activities","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/06/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Careys Health Services Limited","critical_battery","CAREYS HEALTH SERVICES LIMITED","120200000017","02/01/2020","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/06/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Carly Prints International Limited","critical_battery","CARLY PRINTS INTERNATIONAL LIMITED","120200000049","03/01/2020","Other personal service activities n.e.c.","Active","Local Company - Limited by Shares","9609. Other personal service activities n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 03/01/2021. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Casa Grande Construction Limited","gemstones","CASA GRANDE CONSTRUCTION LIMITED","120180002760","05/04/2018","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 03/04/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"CBK Holding and Mineral Resources Limited","gemstones","CBK HOLDING AND MINERAL RESOURCES LIMITED","120230058069","12/10/2023","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/09/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"CBR Worldwide Link Limited","gemstones","CBR WORLDWIDE LINK LIMITED","120080071098","14/02/2008","Freight transport by road","Inactive","Local Company - Limited by Shares","4923. Freight transport by road","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 13/02/2014. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"CCGM Geology and Mining (Z) Ltd","critical_battery","CCGM GEOLOGY AND MINING (ZAMBIA) LIMITED","120100084761","26/05/2010","Other manufacturing n.e.c.","Inactive","Local Company - Limited by Shares","","resolved_via_normalised_query","0","0","0",,,
"Cedar Rock Gold Limited","critical_battery","CEDAR ROCK GOLD LIMITED","120200004228","02/06/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"CENTICUS ENERGY LIMITED","gemstones","CENTICUS ENERGY LIMITED","120220031542","20/04/2022","Manufacture of gas; distribution of gaseous fuels through mains","Active","Local Company - Limited by Shares","3520. Manufacture of gas; distribution of gaseous fuels through mains","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Central Africa Renewable Energy Corporation Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Central Mining Local Multi-Purpose Co-operative Society Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
