"name","licence_type","town","expiry"
"KASUSU CARGO LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"KATONAZI CONSTRUCTION AND GENERAL DEALERS","Final clearance only","NAKONDE","31.12.2026"
"KATUTUBECHI EXPRESS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"KAUZYA NZILA ASISOWA COMPANY LIMITED","Final clearance only","NAKONDE","31.12.2024"
"KAVID CLEARING AND FORWARDING (Z) LIMITED","Final clearance only","CHAMBISHI","31.12.2024"
"KAZI GLOBAL RESOURCES LIMITED","Final clearance only",,"31.12.2026"
"KEEKE CLEARING AND FORWARDING","Final clearance only","MUFULIRA","31.12.2026"
"KERTH BROOK INVESTMENTS LIMITED ONLY NAKONDE","Final clearance only",,"31.12.2025"
"KEYI INVESTMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"KEZMAN FREIGHT AND GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KEZSAM INVESTMENTS LIMITED","Final clearance only","NDOLA","31.12.2024"
"KGONA SERVICES LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"KHUGER ZAMBIA CARGO LIMITED","Final clearance only",,"31.12.2026"
"KILANIS FREIGHT AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"KINGSKAN GENERAL DEALERS LIMITED ONLY LUSAKA","Final clearance only",,"31.12.2025"
"KINGSTAR FREIGHT AND LOGISTICS LIMITED","Full licence","NDOLA","31.12.2024"
"KISCO CLEARING AND CONSULTANCY LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KLYSON ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"KNIGHT WATCH SUPPLIERS LIMITED","Final clearance only","CHINGOLA","31.12.2025"
"KNOXY INVESTMENTS AND GENERAL DEALERS LIMITED","Final clearance only","NDOLA","31.12.2024"
"KOJ CONTRACTORS AND SUPPLIERS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"KOMBS LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only",,"31.12.2025"
"KOMECHI INVESTMENTS LIMITED ONLY INDUSTRIAL ARES LUSAKA","Final clearance only",,"31.12.2025"
"KONIYA CLEARING AND FORWARDING LIMITED","Final clearance only","NDOLA","31.12.2026"
"KUDORA FARM LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KUHA CARGO MANAGEMENT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"KULYAKUBAMBA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"KUWEZA FREIGHTWAYS LIMITED","Full licence","LUSAKA","31.12.2025"
"KWATOKU CARGO LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"LA CARGO SERVICES ZAMBIA","Final clearance only","LUSAKA","31.12.2024"
"LADY S FREIFGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LAKE EXPRESS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LAKE FRONT CARGO LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"LANGSONS FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2025"
"LASI CARGO SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LAWPORT FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LC CLEARING SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LEE.D. LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"LEMORE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LEVITE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LIGHTNING INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LIGHTWAYS INVESTMENTS LIMITED","Final clearance only",,"31.12.2024"
"LILATO LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"LIMU LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"LINK EXPERT SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LINKBORDERS SUPPLIERS AND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LINKLEVELS LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"LINKSWIFT INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LINKWORLD LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LIPAK SHIPPING SERVOCES LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"LITAK CARGO MOVERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LIVINGSTONE FREIGHT LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"LOADFASTER LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"LOFT CRAFTS INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"LOGISTICAL LEGACY ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"LOIWE LOGISTICS COMPANY","Final clearance only","NAKONDE","31.12.2025"
"LOMNEM FREIGHT AND CONSTRUCTION LIMITED","Final clearance only","NDOLA","31.12.2026"
"LOS ANGELES CARGO MANAGEMENT LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"LOVOBERT GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"LUANGENI CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LUBIJO FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2025"
"LUCKY ONES LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"LUFOMBO LOGISTICS LIMITED","Final clearance only","KALOMO","31.12.2025"
"LUKNET CONSULTANCY AND GENERAL DEALING LTD","Final clearance only","LUSAKA","31.12.2024"
"LUKOSO GENERAL DEALERS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"LUMIERE METRICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"LUO TWENTY TWENTY (Z) LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"LURMA INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"LUTHULI INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"LUUMUNO CARGO EXPERTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"LUWA LOGISTICS LIMITED","Final clearance only","KAFUE","31.12.2025"
"LUYA INVESTMENT LIMITED","Final clearance only","SESHEKE","31.12.2026"
"LUYTECH INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"LYNN INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"M & E SHIPPING SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MABSTEV ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2026"
"MACYACH LOGISTICS AND SUPPLIERS LIMITED","Full licence","LUSAKA","31.12.2024"
"MAGLORYAN GENERAL DEALERS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"MAINSTREAM ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MAJOR FOUR FREIGHT (Z) LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"MAKA FREIGHT ZAMBIA LIMITED","Final clearance only",,"31.12.2026"
"MAKUNCHI CLEARING AND FORWARDING","Final clearance only","MUFULIRA","31.12.2026"
"MALENDA CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MALEX INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MALIKA FREIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MAMENE GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MAMUDO INVESTMENTS LIMITED","Final clearance only",,"31.12.2024"
"MANAL CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2026"
"MANAS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MANGAMAR FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MAPENZI CLEARING AND FORWARDING LIMITED RIT ONLY gmail.com","Final clearance only","LUSAKA","31.12.2025"
"MARGIARY FREIGHT SERVICES","Final clearance only","KAZUNGULA","31.12.2026"
"MARIT LOGISTICS ZAMBIA LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"MARITAONA INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MARKARIOS LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2026"
"MARS LOGISTICS WORLDWIDE LIMITED","Full licence","LUSAKA","31.12.2025"
"MARTICAS INVESTMENTS LIMITED","Full licence","LUSAKA","31.12.2024"
"MARVENA LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MASHAH SHIPPING SOLUTIONS LIMITED","Final clearance only",,"31.12.2026"
"MASHEKELWA LOGISTICS LIMITED","Final clearance only","SESHEKE","31.12.2025"
"MASTERS CARGO AND LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"MASTERSHAND LOGISTICS AND FINALCLEARANCE SUPPLIES LIMITED",,"LUSAKA","31.12.2024"
"MASTERWAYS GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MASUKA TRUCKERS AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MATAARON CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MATANTILO LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"MATAR INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MATBEN CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MATE WORLD CONTRACTORS LIMITED ONLY NDOLA","Final clearance only",,"31.12.2026"
"MATKIN CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MATMAR PROPERTIES LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MATWA CARGO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MAWEKA CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MAWIMBA INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MAXNET FREIGHT FORWARDERS LIMITED ONLY gmail.com","Final clearance only","LUSAKA","31.12.2026"
"MAYWAYS CLEARING AND FORWARDING LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"MBAWEMI LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MBUYOTI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MCMUU INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"MDME GENERAL DEALERES LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MEDAN GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MEDGATE INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MEDSON LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"MELNAT TRADING LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MELON SIGNS LIMITED","Final clearance only","SESHEKE","31.12.2026"
"MERCURY EXPRESS LOGISTICS LIMITED","Full licence","LUSAKA","31.12.2025"
"MERCY MUDONGA CLEARING AND FORWARDING LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"METHOD ONE SHIPPING LINE LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MICB TRADING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MICTINA LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"MICTOR LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"MIDDLE FREIGHT SERVICES LIM-","Final clearance only","LIVINGSTONE","31.12.2024"
"MIGHT CARGO AND LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"MIGILLAH CLEARING AND FORWARDING COMPANY","Final clearance only","NDOLA","31.12.2025"
"MIKOLA GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MIMAFRACK ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MINDREADER INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"MIRCAPE INVESTMENTS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"MIRROW LINE INVESTMENTS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"MISUKU SHIPPING AND LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"MITRA INVESTMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MJK RESOURCES ZAMBIA LIMITED","Final clearance only","KAPIRI MPOSHI","31.12.2025"
"MJS + IRE FREGHT LIMITED","Final clearance only","NAKONDE","31.12.2026"
"MNCB TRADING AND LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2025"
"MOMENTUM FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MOONCH INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MOPAO INVESTMENTS COMPANY","Final clearance only","SERENJE","31.12.2024"
"MORNING STAR CONSTRUCTION COMPANY LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MOSAT FREIGHT FORWARDERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MOTIONS CLEARING AND FORWARDING SERVICES","Final clearance only","LUSAKA","31.12.2024"
"MOUNTAIN FREIGHT AND GENERAL DEALERS","Final clearance only","LUSAKA","31.12.2026"
"MOZA FREIGHT AND CLEARING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MPABES GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MPALUKAS INVESTMENTS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"MPASO FREIGHT SERVICES","Final clearance only","LIVINGSTONE","31.12.2025"
"MPULAMPAKO INVESTMENTS LIMITED","Final clearance only",,"31.12.2026"
"MSOLI LOGISTICS AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MTUMBS LOGISTICS AND GENERAL TRADING LIMITED","Final clearance only","KAFUE","31.12.2025"
"MUBA FREIGHT AND FORWARDERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MUCCK SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MUCHA CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MUDA INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"MUGAS LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"MULAPHI LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2026"
"MULE NET LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"MULO EB GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MULOMBE LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"MULOSU INVESTMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MULTIRA INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"MULUNGA FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"MUNGU LOGISTICS ZAMBIA LIMITED","Final clearance only","CHILANGA","31.12.2025"
"MUNKANGWE FREIGHT LIMITED","Final clearance only",,"31.12.2026"
"MUNOLICHI CARGO HANDLERS INVESTMENTS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"MUSUWILE INVESTMENT LIMITED","Final clearance only",,"31.12.2026"
"MUTSOLIC ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MUWAMU GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MUYOWA SUPPLIES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MUZIBETT INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MUZYANDO HAULAGE LIMITED","Final clearance only","MBALA","31.12.2026"
"MUZZY ENTERPRISES LIMITED","Final clearance only","MPIKA","31.12.2025"
"MWAGI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MWAKA FREIGHT AND CARGO SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MWAKASO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"MWALABA CARGO AND MANAGEMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"MWANA DOVE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MWANAMUKULUMPE CARGO AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MWANZASU TRANSPORT AND LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"MWAZEM LIMITED","Final clearance only",,"31.12.2026"
"MWAZI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MWENDALUTA INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"MYALALANJI LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"MYKEY ENTERPRISES LIMITED","Final clearance only","MUFULIRA","31.12.2025"
"MYSTIC SEVEN EIGHTEEN ZAMBIA LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"N AND R LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"N.C.T.L LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"N.H. INVESTMENTS LIMITED","Final clearance only","KATIMA","31.12.2024"
"NAC2000 CORPORATION LIMITED","Final clearance only","LUSAKA","31.12.2026"
"NACHI CARGO SERVICES LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"NADAN CARGO MASTERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"NADLINK CARGO MASTERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"NAJMI INTERNATIONAL LIMITED","Full licence","LUSAKA","31.12.2026"
"NAKAMPAMPA INVESTMENTS LIMITED ONLY com","Final clearance only","NAKONDE","31.12.2025"
"NAKAWALA CARGO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"NAKMART WORKS COMPANY","Final clearance only","NAKONDE","31.12.2026"
"NALUSILS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"NAMAKANJI GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"NAMOT CLEARING AND FORWARDING LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"NAMROD LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"NAMUSA SHIPPING LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"NANKING INVESTMENTS LIMITED","Final clearance only","NDOLA","31.12.2026"
"NAPTAU VENTURES LIMITED","Final clearance only","KATIMA","31.12.2026"
"NASAZACO GROUP OF COMPANIES (Z) LIMITED","Final clearance only","LUSAKA","31.12.2025"
"NASSER SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"NAYO INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"NBEC BUSINESS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"NCHARKA LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"NDAWANA CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"NDOLA CLEARING AND TRADING LIMITED","Final clearance only",,"31.12.2025"
"NECTAR FREIGHT LIMITED","Full licence","LUSAKA","31.12.2026"
"NEEKALI FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"NELANA LINKS AND GENERAL SUPPLIERS COMPANY LIMITED","Final clearance only","KITWE","31.12.2024"
"NESTMAC FREIGHT LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"NET TAX CARGO EXPRESS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"NETCOM LOGISTICS SERVICES","Final clearance only","LUSAKA","31.12.2025"
"NETIX LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2025"
"NEW HORIZON FREIGHT SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"NEW RISE INVESTMENT LIMITED","Final clearance only","KAFUE","31.12.2025"
"NEWTIMES LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2026"
"NEWWOOD FREIGHT AND FORWARDING LIMITED ONLY com","Final clearance only","NDOLA","31.12.2026"
"NEXT STAR LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"NEXTWORLD LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"NGWERE SEA FREIGHT LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"NIKPRO BUSINESS SOLUTIONS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"NISHELO INVESTMENTS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"NITRAM LOGISTICS LIMITED","Final clearance only",,"31.12.2024"
"NIZAMU FREIGHT AND LOGISTICS LIMITED","Full licence","LUSAKA","31.12.2024"
"NJ GOODLOOK TRADINNG LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"NJALO LOGISTICS ZAMBIA LIMITED ONLY NAKONDE","Final clearance only",,"31.12.2025"
"NKUMO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"NOBLE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"NOBLEPLEX CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"NOMALO LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2024"
"NOMAREX CLEARING AND FORWARDING LIMITED","Final clearance only","NDOLA","31.12.2025"
"NORMAN LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"NORTHEAST CARGO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"NORTHERN CROSS CUSTOMS CONSULTANTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"NORTHERN FREIGHT BUSINESS SERVICES","Final clearance only","LUSAKA","31.12.2024"
"NORTHLARK LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2025"
"NORTH-LIGHT LOGISTICS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"NOZGANI CARGO SERVICES LIM-","Final clearance only","LUSAKA","31.12.2024"
"NTASU LOGISTICS COMPANY","Final clearance only","NAKONDE","31.12.2026"
"NYAMBU INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"NYATI CLEARING AND GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"NZOS CLEARING AND FORWARDING LIMITED","Final clearance only",,"31.12.2025"
"O.H.M CUSTOMS CLEARING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"OCEAN BAY ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"OCEAN TREK LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"OCEANIA FREIGHT SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ODDMENTS ENGINEERING AND GENERAL SUPPLIERS","Final clearance only","NDOLA","31.12.2025"
"OHANA INVESTMENTS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"OHMPOWER ENGINEERING CONTRACTORS AND GENERAL DEALERS","Final clearance only","LUSAKA","31.12.2025"
"OLAMI LOGISTICS AND GENERAL DEALERS","Final clearance only","LIVINGSTONE","31.12.2024"
"OLEKI FREIGHT ZAMBIA LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"OLINET CONTRACTORS ZAMBIA","Final clearance only","LUSAKA","31.12.2024"
"OLIVIAN CARGO MANAGEMENT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"OLIX INNOVATIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"OLYMPUS CLEARING LIMITED","Final clearance only","KABWE","31.12.2024"
"OMIGO CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"ONAIR INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"ONE CARGO WORLD LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ONE FAMILY CARGO SERVICES","Final clearance only","LUSAKA","31.12.2024"
"ONE KOKO GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ONE WORLD LOGISTICS AND FREIGHT ZAMBIA","Final clearance only","LUSAKA","31.12.2024"
"ONESHEMI LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ONLINKED INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ONMAX LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"ONYX CARGO AND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"OPS FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ORIENTAL FREIGHT LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"ORLANDO FREIGHT ZAMBIA LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"ORTINA CARGO EXPRESS LIMITED","Final clearance only","MAZABUKA","31.12.2024"
"OWENRITE SHIPPING LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"OXBOW EXPRESS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PACIFIC FREIGTHWAYS LIMITED","Full licence","CHIRUNDU","31.12.2024"
"PACLI CUSTOMS AND CLEARING LIMITED","Final clearance only","NAKONDE","31.12.2024"
"PACT TECHNICAL SERVICES AND","Final clearance only","LUSAKA","31.12.2026"
"PAJA CLEARING AND FORWARDING LIMITED","Final clearance only",,"31.12.2024"
"PAKMANS IMPORT AND EXPORT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PALLET CARGO ZAMBIA","Final clearance only","LIVINGSTONE","31.12.2024"
"PALLETLINE ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PALM CARGO IMPORT AND EXPORT LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"PAMA FREIGHT SERVICES LIMIT-","Final clearance only","LUSAKA","31.12.2024"
"PANDE CLEARING AND FORWARDING LIMITED","Final clearance only","CHIPATA","31.12.2024"
"PANE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PANGE CUSTOMS AGENCY","Final clearance only","LUSAKA","31.12.2026"
"PANGULA INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PARAMAT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PAREIDOLIA CARGO SERVICE LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"PARTLAND INVESTMENTS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"PASAM INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PASCHRIS FREIGHT AND LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2024"
"PASSWAYS CARGO SERVICES","Final clearance only","KITWE","31.12.2026"
"PASSWORLD FREIGHT LIMITED","Final clearance only","KATIMA","31.12.2024"
"PATHWAY CLEARING AND SUPPLIES LIMITED","Final clearance only","NDOLA","31.12.2026"
"PATIENCE CITY BUILDERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PATMOS ISLAND LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PATNET LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PATRACTOR DISTRIBUTORS AND GENERAL CONTRACTORS LIMITONLY ED","Final clearance only","NAKONDE","31.12.2024"
"PATUWA LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"PBM LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
